Marca;Cilindros;Potencia (HP);Tamaño (L);R. Ciudad (km/l);R. Carr. (km/l);R. Comb. (km/l);R. Ajust. (km/l);CO2(g/km);Calificación Gas Ef. Inv.
HYUNDAI;4;245;2;11,79;18,74;14,15;10,61;220;6
HYUNDAI;4;245;2;11,79;18,74;14,15;10,61;220;6
BMW;4;245;2;11,76;19,23;15,65;11,73;199;7
VOLVO;4;190;2;11,76;19,23;14,25;10,69;218;6
VOLVO;4;245;2;11,76;19,23;14,25;10,69;218;6
CHRYSLER;4;184;2,4;11,76;20,46;14,54;10,91;214;6
AUDI;4;230;2;11,7;17,5;13,75;10,31;226;6
AUDI;4;230;2;11,7;17,5;13,75;10,31;226;6
AUDI;4;230;2;11,7;17,5;13,75;10,31;226;6
PORSCHE;6;340;3,4;11,7;17,8;13,83;10,38;225;6
AUDI;4;230;2;11,7;17,5;13,75;10,31;226;6
AUDI;4;230;2;11,7;17,5;13,75;10,31;226;6
AUDI;4;230;2;11,7;17,5;13,75;10,31;226;6
AUDI;4;285;2;11,7;17,1;13,64;10,23;228;6
PORSCHE;6;340;3,4;11,7;17,8;13,83;10,38;225;6
AUDI;4;285;2;11,7;17,1;13,64;10,23;228;6
LINCOLN;4;240;2;11,67;18,68;14,04;10,53;221;6
LINCOLN;4;240;2;11,67;18,68;14,04;10,53;221;6
BMW;4;184;2;11,63;19,61;15,63;11,72;199;7
BMW;4;245;2;11,63;18,87;15,45;11,59;201;7
VOLVO;4;190;2;11,62;20,4;14,41;10,81;216;6
PORSCHE;6;275;2,7;11,6;18,4;13,91;10,44;223;6
BMW;6;326;3;11,6;18,9;15,43;11,58;201;7
AUDI;4;211;2;11,57;20,01;14,28;10,71;218;6
AUDI;4;211;2;11,57;20,01;14,28;10,71;218;6
AUDI;4;160;1,8;11,54;21,19;14,51;10,88;214;6
AUDI;4;160;1,8;11,54;21,19;14,51;10,88;214;6
CADILLAC;4;272;2;11,52;18,62;13,91;10,43;224;6
CADILLAC;4;272;2;11,52;18,51;13,88;10,41;224;6
CADILLAC;4;272;2;11,52;18,51;13,88;10,41;224;6
HONDA;4;191;2,4;11,5;19,5;14,1;10,58;220;6
ACURA;6;280;3,5;11,5;17,1;14,88;11,16;209;7
HONDA;4;191;2,4;11,5;19,5;14,1;10,58;220;6
PORSCHE;6;275;2,7;11,5;18,2;13,78;10,34;226;6
VW;5;170;2,5;11,5;19,9;14,2;10,65;219;6
BMW;6;326;3;11,5;19,7;14,15;10,61;220;6
AUDI;4;252;2;11,5;16,7;13,37;10,03;232;6
AUDI;4;252;2;11,5;16,7;13,37;10,03;232;6
VW;5;170;2,5;11,5;19,9;14,2;10,65;219;6
AUDI;4;252;2;11,5;16,7;13,37;10,03;232;6
AUDI;4;252;2;11,5;16,7;13,37;10,03;232;6
PORSCHE;6;275;2,7;11,5;18,2;13,78;10,34;226;6
VW;5;170;2,5;11,5;19,9;14,2;10,65;219;6
BMW;6;431;3;11,5;14,1;13,93;10,45;223;6
MERCEDES;4;211;2;11,49;17,86;15,08;11,31;206;7
MERCEDES;4;211;2;11,49;15,38;14,36;10,77;216;6
BMW;4;245;2;11,49;18,18;15,16;11,37;205;7
VOLVO;4;245;2;11,49;19,6;14,12;10,59;220;6
ACURA;4;204;2,4;11,4;18,3;13,73;10,3;226;6
ACURA;4;204;2,4;11,4;18,3;15,12;11,34;206;7
ACURA;4;204;2,4;11,4;18,3;13,73;10,3;226;6
ACURA;4;204;2,4;11,4;18,2;13,7;10,28;227;6
BMW;6;326;3;11,4;19,9;15,51;11,63;200;7
TOYOTA;6;268;3,5;11,3;17,8;13,52;10,14;230;6
TOYOTA;6;268;3,5;11,3;17,8;13,52;10,14;230;6
TOYOTA;6;268;3,5;11,3;17,8;13,52;10,14;230;6
MERCEDES;4;355;2;11,3;17,2;14,75;11,07;211;7
AUDI;4;252;2;11,3;17,4;13,42;10,06;232;6
AUDI;4;252;2;11,3;17,4;13,42;10,06;232;6
PORSCHE;6;380;3;11,29;14,45;13,91;10,43;224;6
MERCEDES;4;245;2;11,24;16,95;14,64;10,98;212;6
BMW;4;184;2;11,23;17,85;14,87;11,15;209;7
MINI;4;122;1,6;11,23;18,86;15,12;11,34;206;7
ACURA;4;202;2,4;11,23;17,95;13,51;10,13;230;6
MINI;4;122;1,6;11,23;18,86;15,12;11,34;206;7
VW;6;280;3,6;11,2;21,3;14,24;10,68;218;6
AUDI;4;230;2;11,2;16,5;13,09;9,82;237;6
AUDI;4;230;2;11,2;16,5;13,09;9,82;237;6
AUDI;4;190;1,8;11,2;15,8;12,89;9,67;241;5
PORSCHE;6;340;3,4;11,2;17,3;13,31;9,98;234;6
VOLVO;4;306;2;11,2;17;13,23;9,92;235;6
AUDI;4;230;2;11,2;16,5;13,09;9,82;237;6
AUDI;4;230;2;11,2;16,5;13,09;9,82;237;6
AUDI;4;190;1,8;11,2;15,8;12,89;9,67;241;5
PORSCHE;6;340;3,4;11,2;17,3;13,31;9,98;234;6
BUICK;4;180;2,4;11,18;18,92;13,7;10,28;227;6
CADILLAC;4;272;2;11,18;18,62;13,63;10,22;228;6
BUICK;4;180;2,4;11,18;18,92;13,7;10,28;227;6
BUICK;4;180;2,4;11,18;18,92;13,7;10,28;227;6
CADILLAC;4;272;2;11,15;18,38;13,55;10,16;229;6
CADILLAC;4;272;2;11,15;18,38;13,55;10,16;229;6
AUDI;4;211;2;11,11;19,23;13,72;10,29;227;6
AUDI;4;211;2;11,11;19,23;13,72;10,29;227;6
AUDI;4;211;2;11,11;19,23;13,72;10,29;227;6
AUDI;4;211;2;11,11;19,23;13,72;10,29;227;6
AUDI;4;211;2;11,11;19,23;13,72;10,29;227;6
AUDI;4;211;2;11,11;19,23;13,72;10,29;227;6
AUDI;4;211;2;11,11;19,23;13,72;10,29;227;6
AUDI;4;211;2;11,11;19,23;13,72;10,29;227;6
AUDI;4;160;1,8;11,11;18,86;15,02;11,27;207;7
AUDI;4;160;1,8;11,11;18,86;15,02;11,27;207;7
BUICK;4;260;2;11,1;17,9;13,39;10,04;232;6
VOLVO;5;254;2,5;11,1;16,5;13,02;9,76;239;5
PORSCHE;6;300;2;11,1;17;13,15;9,87;236;6
VOLVO;4;254;2,5;11,1;16,5;13,02;9,76;239;5
PORSCHE;6;300;2;11,1;17;13,15;9,87;236;6
BUICK;4;260;2;11,05;17,85;13,34;10;233;6
BUICK;4;250;2;11,05;17,85;13,34;10;233;6
BUICK;4;260;2;11,05;17,81;13,33;10;233;6
BUICK;4;250;2;11,05;17,86;13,34;10;233;6
AUDI;4;272;2;11,02;16,05;12,83;9,62;242;5
AUDI;4;272;2;11,02;16,05;12,83;9,62;242;5
AUDI;4;285;2;11,02;16;12,81;9,61;243;5
HONDA;4;178;2,4;11;18,7;13,5;10,13;230;6
HONDA;4;178;2,4;11;18,7;13,5;10,13;230;6
AUDI;4;280;2;11;16;12,8;9,6;243;5
AUDI;4;285;2;11;16;12,8;9,6;243;5
AUDI;4;285;2;11;16;12,8;9,6;243;5
VW;6;280;3,6;11;17,8;13,28;9,96;234;6
PORSCHE;6;325;3,4;11;17,9;13,31;9,98;234;6
BMW;6;326;3;11;19,7;13,73;10,3;226;6
AUDI;4;280;2;11;16;12,8;9,6;243;5
AUDI;4;285;2;11;16;12,8;9,6;243;5
VW;6;280;3,6;11;17,8;13,28;9,96;234;6
AUDI;4;285;2;11;16;12,8;9,6;243;5
AUDI;4;285;2;11;16;12,8;9,6;243;5
VW;6;280;3,6;11;17,8;13,28;9,96;234;6
BMW;6;326;3;11;18,2;14,77;11,08;210;7
BMW;6;326;3;11;18,2;14,77;11,08;210;7
BMW;6;326;3;11;19,2;15,01;11,26;207;7
PEUGEOT;4;197;1,6;10,99;17,86;14,68;11,01;212;6
PEUGEOT;4;197;1,6;10,99;17,86;14,68;11,01;212;6
PEUGEOT;4;197;1,6;10,99;17,86;14,68;11,01;212;6
PEUGEOT;4;197;1,6;10,99;17,86;14,68;11,01;212;6
PEUGEOT;4;197;1,6;10,99;17,86;14,68;11,01;212;6
MERCEDES;4;181;1,8;10,98;20,4;15,25;11,44;204;7
MERCEDES;4;181;1,8;10,98;20,4;15,25;11,44;204;7
PORSCHE;6;325;3,4;10,98;17,85;13,28;9,96;234;6
CADILLAC;6;335;3,5;10,93;17,94;13,26;9,94;234;6
CADILLAC;6;335;3,6;10,93;17,94;13,26;9,94;234;6
NISSAN;6;270;3,5;10,9;16,2;12,78;9,59;243;5
NISSAN;6;270;3,5;10,9;16,2;12,78;9,59;243;5
INFINITI;6;219;2,5;10,9;17,4;13,1;9,83;237;6
INFINITI;6;219;2,5;10,9;17,4;13,1;9,83;237;6
MERCEDES;4;181;1,8;10,9;20,4;15,18;11,39;205;7
AUDI;6;310;3;10,9;17,3;13,08;9,81;238;6
PORSCHE;6;325;3,4;10,9;17,7;13,18;9,88;236;6
AUDI;6;310;3;10,9;17,3;13,08;9,81;238;6
PORSCHE;6;325;3,4;10,9;17,7;13,18;9,88;236;6
AUDI;6;310;3;10,9;17,3;13,08;9,81;238;6
PORSCHE;6;325;3,4;10,9;17,7;13,18;9,88;236;6
BMW;4;184;2;10,89;18,13;14,67;11;212;6
BMW;4;184;2;10,89;18,18;14,68;11,01;212;6
CADILLAC;6;335;3,6;10,88;17,81;13,19;9,89;236;6
VOLVO;4;245;2;10,86;17,24;13,03;9,77;239;5
PORSCHE;6;265;2,9;10,82;14,71;12,28;9,21;253;5
PORSCHE;6;265;2,9;10,82;12,99;11,7;8,77;266;4
PORSCHE;6;265;2,9;10,82;14,71;12,28;9,21;253;5
PORSCHE;6;265;2,9;10,82;12,99;11,7;8,77;266;4
NISSAN;6;270;3,5;10,8;16,2;12,71;9,53;245;5
NISSAN;6;270;3,5;10,8;16,2;12,71;9,53;245;5
AUDI;4;180;2;10,8;20,1;13,64;10,23;228;6
VW;4;200;2;10,8;19,2;13,45;10,09;231;6
AUDI;6;310;3;10,8;17,1;12,95;9,71;240;5
SUBARU;4;268;2;10,8;16,1;12,68;9,51;245;5
VW;4;200;2;10,8;19,2;13,45;10,09;231;6
VW;4;200;2;10,8;19,2;13,45;10,09;231;6
VOLVO;4;100;1,6;10,75;17,5;14,4;10,8;216;6
VOLVO;4;100;1,6;10,75;17,54;14,41;10,81;216;6
MINI;4;122;1,6;10,75;18,18;14,56;10,92;213;6
VOLVO;4;100;1,6;10,75;17,54;14,41;10,81;216;6
VW;4;200;2;10,75;16,04;12,62;9,47;246;5
CHRYSLER;6;295;3,6;10,75;16,39;12,72;9,54;244;5
VW;4;200;2;10,75;15,87;12,58;9,43;247;5
CHRYSLER;4;172;2,4;10,7;16,53;12,72;9,54;244;5
CHRYSLER;4;172;2,4;10,7;16,53;12,72;9,54;244;5
CHRYSLER;4;172;2,4;10,7;16,53;12,72;9,54;244;5
AUDI;4;225;2;10,7;17,1;12,87;9,65;242;5
AUDI;4;225;2;10,7;17,1;12,87;9,65;242;5
AUDI;4;225;2;10,7;17,1;12,87;9,65;242;5
AUDI;4;225;2;10,7;17,1;12,87;9,65;242;5
AUDI;3;272;3;10,7;17,1;12,87;9,65;242;5
AUDI;6;272;3;10,7;17,1;12,87;9,65;242;5
AUDI;4;177;1,8;10,7;15,1;12,31;9,24;252;5
AUDI;4;225;2;10,7;17,1;12,87;9,65;242;5
AUDI;6;272;3;10,7;17,1;12,87;9,65;242;5
AUDI;4;225;2;10,7;17,1;12,87;9,65;242;5
AUDI;4;225;2;10,7;17,1;12,87;9,65;242;5
AUDI;6;272;3;10,7;17,1;12,87;9,65;242;5
AUDI;3;272;3;10,7;17,1;12,87;9,65;242;5
AUDI;4;177;1,8;10,7;15,1;12,31;9,24;252;5
AUDI;4;225;2;10,7;17,1;12,87;9,65;242;5
AUDI;6;272;3;10,7;17,1;12,87;9,65;242;5
AUDI;6;333;3;10,7;16,1;12,6;9,45;247;5
AUDI;6;333;3;10,7;16,1;12,6;9,45;247;5
CHRYSLER;6;283;3,6;10,68;15,38;12,38;9,29;251;5
CHRYSLER;6;283;3,6;10,68;15,38;12,38;9,29;251;5
CHRYSLER;6;283;3,6;10,68;15,38;12,38;9,29;251;5
BUICK;4;220;2;10,67;17,26;12,88;9,66;241;5
AUDI;4;180;2;10,66;18,89;13,26;9,94;234;6
BMW;4;156;2;10,64;18,87;14,63;10,97;213;6
AUDI;4;180;2;10,64;18,87;13,24;9,93;235;6
MERCEDES;4;245;2;10,64;14,71;13,53;10,15;230;6
BMW;4;184;2;10,63;17,24;14,24;10,68;218;6
BMW;4;184;2;10,63;17,24;14,24;10,68;218;6
AUDI;6;272;3;10,61;14,52;12,07;9,05;258;5
AUDI;6;272;3;10,61;14,52;12,07;9,05;258;5
AUDI;6;272;3;10,61;14,52;12,07;9,05;258;5
AUDI;6;272;3;10,61;14,52;12,07;9,05;258;5
AUDI;6;333;3;10,61;14,52;12,07;9,05;258;5
AUDI;6;333;3;10,61;14,52;12,07;9,05;258;5
AUDI;6;333;3;10,61;14,52;12,07;9,05;258;5
AUDI;6;333;3;10,6;14,52;12,07;9,05;258;5
AUDI;6;333;3;10,6;14,52;12,07;9,05;258;5
AUDI;6;333;3;10,6;14,71;12,12;9,09;256;5
AUDI;6;272;3;10,6;14,6;12,09;9,07;257;5
AUDI;6;272;3;10,6;14,6;12,09;9,07;257;5
AUDI;6;272;3;10,6;14,6;12,09;9,07;257;5
AUDI;6;272;3;10,6;14,6;12,09;9,07;257;5
AUDI;6;333;3;10,6;14,6;12,09;9,07;257;5
AUDI;6;333;3;10,6;14,6;12,09;9,07;257;5
AUDI;6;333;3;10,6;14,6;12,09;9,07;257;5
AUDI;6;272;3;10,6;14,5;12,06;9,04;258;5
AUDI;6;272;3;10,6;14,6;12,09;9,07;257;5
AUDI;3;272;3;10,6;14,6;12,09;9,07;257;5
AUDI;6;272;3;10,6;14,6;12,09;9,07;257;5
AUDI;6;272;3;10,6;14,6;12,09;9,07;257;5
ACURA;6;573;3,5;10,6;10,8;12,05;9,03;258;5
ACURA;6;573;3,5;10,6;10,8;12,05;9,03;258;5
BMW;6;340;3;10,6;17,2;14,2;10,65;219;6
BMW;6;340;3;10,6;17,2;14,2;10,65;219;6
PORSCHE;6;320;3,4;10,59;12,82;11,49;8,62;271;4
PORSCHE;6;320;3,4;10,59;12,65;11,43;8,57;272;4
PORSCHE;6;320;3,4;10,59;12,82;11,49;8,62;271;4
PORSCHE;6;320;3,4;10,59;12,66;11,43;8,57;272;4
SUBARU;6;256;3,6;10,59;17,13;12,79;9,59;243;5
SUBARU;6;256;3,6;10,59;17,13;12,79;9,59;243;5
AUDI;6;204;2,8;10,57;16,65;12,65;9,49;246;5
MERCEDES;6;302;3,5;10,52;17,86;12,91;9,68;241;5
MERCEDES;6;302;3,5;10,52;17,86;12,91;9,68;241;5
INFINITI;6;327;3,7;10,5;17,2;12,73;9,55;244;5
INFINITI;6;327;3,7;10,5;17,2;12,73;9,55;244;5
INFINITI;6;327;3,7;10,5;17,2;12,73;9,55;244;5
BMW;8;449;4,4;10,5;17,6;12,83;9,62;242;5
AUDI;6;333;3;10,5;16,8;12,63;9,47;246;5
AUDI;6;333;3;10,5;15,9;12,39;9,3;251;5
AUDI;5;367;2,5;10,5;16,7;12,61;9,45;247;5
AUDI;6;333;3;10,5;15,1;12,17;9,13;255;5
AUDI;6;333;3;10,5;16,8;12,63;9,47;246;5
AUDI;6;333;3;10,5;16,8;12,63;9,47;246;5
AUDI;6;333;3;10,5;15,9;12,39;9,3;251;5
AUDI;5;367;2,5;10,5;16,7;12,61;9,45;247;5
AUDI;6;333;3;10,5;15,1;12,17;9,13;255;5
AUDI;6;333;3;10,5;16,8;12,63;9,47;246;5
VW;5;170;2,5;10,42;18,22;12,91;9,68;241;5
MERCEDES;4;381;2;10,42;16,67;13,92;10,44;223;6
MERCEDES;4;381;2;10,42;16,39;13,85;10,38;225;6
MERCEDES;4;381;2;10,42;16,67;13,92;10,44;223;6
MERCEDES;4;381;2;10,42;16,39;13,85;10,38;225;6
VW;5;170;2,5;10,42;18,22;12,9;9,68;241;5
VOLVO;4;320;2;10,41;15,15;12,12;9,09;257;5
AUDI;6;333;3;10,4;15,8;12,29;9,22;253;5
AUDI;6;333;3;10,4;15,8;12,29;9,22;253;5
CADILLAC;4;272;2;10,37;17,77;12,76;9,57;244;5
CADILLAC;4;272;2;10,37;17,77;12,76;9,57;244;5
AUDI;4;180;2;10,31;17,86;12,73;9,55;244;5
AUDI;4;180;2;10,31;17,86;12,73;9,55;244;5
MERCEDES;4;154;1,8;10,3;19,23;14,41;10,81;216;6
NISSAN;6;290;3,5;10,3;15,5;12,13;9,1;256;5
NISSAN;6;290;3,5;10,3;15,5;12,13;9,1;256;5
MERCEDES;4;201;1,8;10,3;18,86;14,33;10,75;217;6
MERCEDES;4;201;1,8;10,3;18,86;14,33;10,75;217;6
NISSAN;6;290;3,5;10,3;15,5;12,13;9,1;256;5
MERCEDES;4;201;1,8;10,3;18,86;14,33;10,75;217;6
MERCEDES;4;201;1,8;10,3;18,86;14,33;10,75;217;6
NISSAN;6;290;3,5;10,3;15,5;12,13;9,1;256;5
NISSAN;6;290;3,5;10,3;15,5;12,13;9,1;256;5
MERCEDES;4;201;1,8;10,3;18,8;14,32;10,74;217;6
AUDI;5;310;2,5;10,3;16,1;12,29;9,22;253;5
CHRYSLER;4;173;2,4;10,25;15,98;12,22;9,17;254;5
AUDI;6;310;3;10,2;15,38;12,03;9,02;259;5
AUDI;6;310;3;10,2;15,38;12,03;9,02;259;5
MERCEDES;6;333;3,5;10,2;17,54;13,96;10,47;223;6
INFINITI;6;327;3,7;10,2;15,8;12,14;9,1;256;5
AUDI;6;310;3;10,2;15,59;12,08;9,06;257;5
AUDI;6;310;3;10,2;15,59;12,08;9,06;257;5
INFINITI;6;327;3,7;10,2;15,8;12,14;9,1;256;5
AUDI;6;310;3;10,2;15,5;12,05;9,04;258;5
AUDI;6;310;3;10,2;15,5;12,05;9,04;258;5
BMW;6;431;3;10,2;15,8;12,14;9,1;256;5
AUDI;5;340;2,5;10,17;15,76;12,1;9,08;257;5
AUDI;5;340;2,5;10,17;15,76;12,1;9,08;257;5
AUDI;5;340;2,5;10,17;15,76;12,1;9,08;257;5
AUDI;5;340;2,5;10,17;15,76;12,1;9,08;257;5
MERCEDES;4;154;1,8;10,1;18,52;14,09;10,56;221;6
MERCEDES;4;154;1,8;10,1;18,52;14,09;10,56;221;6
MERCEDES;4;154;1,8;10,1;18,5;14,08;10,56;221;6
AUDI;4;224;2;10,1;16,1;12,14;9,1;256;5
INFINITI;6;330;3,7;10,1;15,9;12,08;9,06;257;5
RENAULT;6;166;2,3;10,02;15,93;12,03;9,02;258;5
DODGE;6;292;3,6;10,01;15,48;11,9;8,93;261;4
DODGE;6;292;3,6;10,01;15,48;11,9;8,93;261;4
SUBARU;4;265;2,5;10;14,4;11,59;8,7;268;4
BMW;4;184;2;10;20,4;14,37;10,78;216;6
MERCEDES;6;333;3,5;10;16,95;13,65;10,23;228;6
CADILLAC;6;270;3;9,91;17;12,2;9,15;255;5
MERCEDES;4;184;1,8;9,9;18,18;13,84;10,38;225;6
HONDA;6;271;3,5;9,9;17,4;12,28;9,21;253;5
HONDA;6;271;3,5;9,9;17,4;12,28;9,21;253;5
INFINITI;6;330;3,7;9,9;15,8;11,9;8,92;261;4
MERCEDES;4;181;1,8;9,9;18,18;13,84;10,38;225;6
MERCEDES;4;201;1,8;9,9;18,18;13,84;10,38;225;6
HONDA;6;271;3,5;9,9;17,4;12,28;9,21;253;5
INFINITI;6;330;3,7;9,9;15,8;11,9;8,92;261;4
MERCEDES;4;181;1,8;9,9;18,18;13,84;10,38;225;6
MERCEDES;4;201;1,8;9,9;18,18;13,84;10,38;225;6
INFINITI;6;330;3,7;9,9;15,8;11,9;8,92;261;4
INFINITI;6;330;3,7;9,9;15,8;11,9;8,92;261;4
MERCEDES;4;181;1,8;9,9;18,1;13,82;10,37;225;6
HONDA;4;185;2,4;9,9;18,2;13,84;10,38;225;6
HONDA;4;185;2,4;9,9;18,2;13,84;10,38;225;6
HONDA;4;189;2,4;9,9;18,2;13,84;10,38;225;6
HONDA;4;185;2,4;9,9;18,2;13,84;10,38;225;6
HONDA;4;185;2,4;9,9;18,2;13,84;10,38;225;6
HONDA;4;189;2,4;9,9;18,2;13,84;10,38;225;6
VW;4;200;2;9,82;16,04;11,9;8,92;261;4
VW;4;200;2;9,82;16,04;11,9;8,92;261;4
VW;4;200;2;9,82;16,04;11,9;8,92;261;4
BMW;6;258;3;9,81;15,27;13,07;9,8;238;6
BMW;6;306;3;9,81;15,27;13,07;9,8;238;6
BMW;4;245;2;9,81;15,62;13,16;9,87;236;6
HONDA;6;271;3,5;9,8;17,1;12,13;9,1;256;5
ACURA;6;280;3,5;9,8;15,2;11,66;8,75;267;4
MERCEDES;4;181;1,8;9,8;16,66;13,41;10,06;232;6
HONDA;6;271;3,5;9,8;17,1;12,13;9,1;256;5
ACURA;6;280;3,5;9,8;16,2;13,3;9,97;234;6
BMW;6;306;3;9,8;18,18;13,75;10,31;226;6
ACURA;6;280;3,5;9,8;16,2;13,3;9,97;234;6
BMW;6;306;3;9,8;18,18;13,75;10,31;226;6
MERCEDES;4;181;1,8;9,8;16,66;13,41;10,06;232;6
ACURA;6;280;3,5;9,8;16,3;11,94;8,96;260;5
MERCEDES;4;181;2;9,8;16,6;13,39;10,05;232;6
BMW;6;306;3;9,8;18,18;13,75;10,31;226;6
SUBARU;4;268;2;9,8;14,3;11,42;8,56;272;4
PORSCHE;6;350;2,5;9,8;17,3;12,18;9,13;255;5
PORSCHE;6;350;2,5;9,8;17,3;12,18;9,13;255;5
LINCOLN;4;275;2,3;9,79;15,36;11,7;8,77;266;4
VW;6;280;3,6;9,77;17,08;12,1;9,08;257;5
FORD;6;288;3,5;9,77;15,62;13,13;9,84;237;6
FORD;6;365;3,5;9,77;15,62;13,13;9,84;237;6
FORD;6;288;3,5;9,77;15,62;11,75;8,81;265;4
FORD;6;365;3,5;9,77;15,62;11,75;8,81;265;4
VW;6;280;3,6;9,76;17,08;12,09;9,07;257;5
BUICK;4;250;2;9,74;17,77;12,23;9,17;254;5
LINCOLN;6;300;3,7;9,71;15,64;11,71;8,78;265;4
PORSCHE;6;325;3,4;9,71;15,65;11,71;8,78;265;4
BUICK;4;250;2;9,71;17,77;12,2;9,15;255;5
BMW;6;320;3;9,71;17,24;13,47;10,1;231;6
BMW;6;326;3;9,71;16,95;13,4;10,05;232;6
MERCEDES;4;201;1,8;9,7;16,39;13,26;9,95;234;6
AUDI;4;211;2;9,7;17,24;13,46;10,09;231;6
AUDI;4;211;2;9,7;17,24;13,46;10,09;231;6
INFINITI;6;330;3,7;9,7;15,4;11,64;8,73;267;4
AUDI;4;211;2;9,7;17,24;13,46;10,09;231;6
AUDI;4;211;2;9,7;17,24;13,46;10,09;231;6
BMW;6;306;3;9,7;16,86;13,37;10,03;233;6
SUBARU;4;265;2,5;9,7;14,6;11,43;8,57;272;4
INFINITI;6;330;3,7;9,7;15,4;11,64;8,73;267;4
BMW;6;320;3;9,7;17,24;13,46;10,09;231;6
BMW;6;306;3;9,7;16,66;13,32;9,99;233;6
INFINITI;6;329;3,7;9,7;15,4;11,64;8,73;267;4
INFINITI;6;329;3,7;9,7;15,4;11,64;8,73;267;4
BMW;6;326;3;9,7;16,94;13,39;10,04;232;6
PORSCHE;6;325;3,4;9,7;15,6;11,69;8,77;266;4
INFINITI;6;329;3,7;9,7;15,4;11,64;8,73;267;4
PORSCHE;6;350;2,5;9,7;15,2;11,59;8,69;268;4
PORSCHE;6;350;2,5;9,7;15,2;11,59;8,69;268;4
CHRYSLER;6;295;3,6;9,68;16,56;11,91;8,93;261;5
VW;6;280;3,6;9,64;16,62;11,89;8,92;261;4
LINCOLN;4;240;2;9,62;15,32;12,93;9,7;240;5
LINCOLN;6;305;3,7;9,62;15,32;12,93;9,7;240;5
LINCOLN;4;240;2;9,62;15,32;12,93;9,7;240;5
LINCOLN;6;300;3,7;9,62;15,32;12,93;9,7;240;5
MERCEDES;6;333;3,5;9,62;16,95;13,32;9,99;233;6
MERCEDES;6;333;3,5;9,62;16,95;13,32;9,99;233;6
BMW;4;245;2;9,61;15,62;13;9,75;239;5
MERCEDES;4;201;1,8;9,61;15,62;13;9,75;239;5
VOLVO;5;254;2,5;9,61;16,94;11,93;8,95;261;5
VOLVO;5;254;2,5;9,61;16,94;11,93;8,95;261;5
BMW;6;320;3;9,61;17,24;13,38;10,03;232;6
ACURA;6;305;3,7;9,6;14,9;11,43;8,57;272;4
ACURA;6;305;3,7;9,6;14,9;11,43;8,57;272;4
MERCEDES;4;208;2;9,6;15,6;12,98;9,74;239;5
MERCEDES;4;208;2;9,6;15,6;12,98;9,74;239;5
MERCEDES;4;208;2;9,6;15,6;12,98;9,74;239;5
BUICK;4;220;2;9,56;15,9;11,65;8,74;267;4
AUDI;6;290;3;9,54;14,97;11,4;8,55;273;4
MERCEDES;6;367;3;9,52;16,67;13,18;9,88;236;6
CADILLAC;6;318;3,6;9,52;16,11;11,67;8,75;266;4
CADILLAC;6;318;3,6;9,52;16,11;11,67;8,75;266;4
BMW;6;370;3;9,52;15,63;12,93;9,69;241;5
LINCOLN;6;263;3,5;9,5;15,9;11,6;8,7;268;4
LINCOLN;6;263;3,5;9,5;15,9;11,6;8,7;268;4
SUBARU;4;147;2;9,5;15,3;12,83;9,62;242;5
SUBARU;4;147;2;9,5;15,3;12,83;9,62;242;5
SUBARU;4;147;2;9,5;15,3;12,83;9,62;242;5
SUBARU;4;147;2;9,5;15,3;12,83;9,62;242;5
PORSCHE;6;325;3,4;9,5;15,3;11,45;8,59;271;4
PORSCHE;6;325;3,4;9,5;15,3;11,45;8,59;271;4
PORSCHE;6;325;3,4;9,5;15,3;11,45;8,59;271;4
BMW;6;370;3;9,5;15,6;12,9;9,68;241;5
CHRYSLER;6;283;3,6;9,46;16,55;11,72;8,79;265;4
CHRYSLER;6;283;3,6;9,46;16,55;11,72;8,79;265;4
CHRYSLER;6;283;3,6;9,46;16,55;11,72;8,79;265;4
CHRYSLER;4;173;2,4;9,46;15,73;11,53;8,65;270;4
MERCEDES;4;201;1,8;9,43;17,54;13,29;9,96;234;6
BMW;6;306;3;9,43;18,18;13,42;10,06;232;6
TOYOTA;6;268;3,5;9,4;13,2;10,8;8,1;288;4
SUBARU;4;147;2;9,4;16,6;13,05;9,79;238;6
SUBARU;4;147;2;9,4;16,6;13,05;9,79;238;6
SUBARU;4;147;2;9,4;16,6;13,05;9,79;238;6
SUBARU;4;147;2;9,4;16,6;13,05;9,79;238;6
CHRYSLER;6;295;3,6;9,4;15,7;11,47;8,6;271;4
PORSCHE;6;400;3,6;9,4;13,7;10,95;8,21;284;4
PORSCHE;6;400;3,6;9,4;13,7;10,95;8,21;284;4
VW;6;280;3,6;9,4;16,7;11,7;8,78;266;4
PORSCHE;6;400;3,6;9,4;13,7;10,95;8,21;284;4
VW;6;280;3,6;9,4;16,7;11,7;8,78;266;4
VOLVO;5;227;2,5;9,35;12,76;11,98;8,99;259;5
VOLVO;5;227;2,5;9,35;12,76;11,98;8,99;259;5
MERCEDES;6;367;3;9,35;16,13;12,9;9,68;241;5
MERCEDES;6;367;3;9,35;16,13;12,9;9,68;241;5
AUDI;8;450;4;9,3;13,9;10,93;8,2;285;4
AUDI;8;450;4;9,3;13,9;10,93;8,2;285;4
PORSCHE;6;385;3,8;9,3;15,7;11,39;8,54;273;4
AUDI;8;450;4;9,3;13,9;10,93;8,2;285;4
AUDI;8;450;4;9,3;13,9;10,93;8,2;285;4
PORSCHE;6;385;3,8;9,3;15,7;11,39;8,54;273;4
BMW;6;218;3;9,26;16,67;12,95;9,71;240;5
